Name,Year,Draft Team,Pick,Team,Position,Height,Wingspan,Weight,Draft Age,Birthdate,Nation,G,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,STL,TO,PF,PTS,TS%,eFG%,3PAr,FTAr,USG%,AST/USG,AST/TO,PER,OWS/40,DWS/40,WS/40,OBPM,DBPM,BPM
Kevin Martin,2004,SAC,26,Western Carolina,SG,79.0,,185,21.37,"Feb 1, 1983",USA,27.0,31.2,8.9,18.7,0.474,2.2,6.5,0.336,8.8,10.8,0.817,5.6,2.0,0.3,2.1,3.6,2.2,28.7,0.602,0.532,0.346,0.574,,,0.56,,,,,,,
Sasha Vujačić,2004,LAL,27,Snaidero Udine (Italy),SG,79.0,,205,20.27,"Mar 8, 1984",Slovenia,32.0,28.4,5.4,13.1,0.414,2.3,7.1,0.326,5.7,6.9,0.827,4.9,2.9,0.2,2.9,3.0,3.7,18.8,0.575,0.502,0.538,0.523,,,0.96,,,,,,,
Beno Udrih,2004,SA,28,Breil Milano (Italy),PG,75.75,76.5,199,21.95,"Jul 5, 1982",Slovenia,18.0,25.0,5.8,11.1,0.525,1.2,3.0,0.405,2.1,2.2,0.929,2.6,3.0,0.0,2.2,3.4,4.2,15.0,0.614,0.579,0.266,0.201,,,0.86,,,,,,,
David Harrison,2004,IND,29,Colorado,C,84.0,,260,21.83,"Aug 15, 1982",USA,29.0,31.6,7.3,11.6,0.631,0.0,0.0,0.0,4.9,9.1,0.539,10.0,1.0,3.3,0.7,3.1,3.7,19.5,0.613,0.631,0.003,0.786,,,0.32,,,,,,,
Anderson Varejão,2004,CLE,30,FC Barcelona (Spain),PF,82.0,,230,21.71,"Sep 28, 1982",Brazil,45.0,20.7,5.1,10.0,0.508,0.4,1.7,0.244,2.7,4.5,0.595,8.1,1.5,1.2,2.0,2.3,4.8,13.2,0.546,0.529,0.174,0.45,,,0.64,,,,,,,
Jackson Vroman,2004,PHX,31,Iowa State,PF/C,82.75,84.0,226,23.02,"Jun 6, 1981",USA,32.0,30.7,6.8,12.1,0.564,0.0,0.3,0.143,2.6,5.2,0.507,11.2,2.7,0.8,1.7,3.7,4.1,16.3,0.56,0.565,0.021,0.43,24.1,0.63,0.74,0.0,0.085,0.081,0.167,,,
Peter John Ramos,2004,WAS,32,Caguas (Puerto Rico),C,87.25,89.5,266,19.06,"May 23, 1985",Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Chalmers,2004,LAC,33,Xavier,PG,72.0,,180,23.59,"Nov 10, 1980",USA,37.0,34.9,5.7,12.6,0.449,2.8,6.9,0.409,2.9,4.1,0.709,3.4,3.3,0.0,1.1,2.9,2.2,17.1,0.586,0.561,0.544,0.326,25.0,0.8,1.14,0.0,0.118,0.053,0.173,,,
Donta Smith,2004,ATL,34,Southeastern Illinois,SF,79.0,,230,20.55,"Nov 27, 1983",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Emmett,2004,MEM,35,Texas Tech,SG/SF,76.5,81.0,216,21.8,"Aug 27, 1982",USA,34.0,37.0,7.4,14.1,0.526,0.5,1.3,0.356,4.7,6.5,0.73,6.4,1.8,0.3,1.3,2.0,1.4,20.0,0.583,0.543,0.091,0.457,26.5,0.4,0.89,0.0,0.127,0.073,0.2,,,
Antonio Burks,2004,MEM,36,Memphis,PG,72.75,78.5,191,24.3,"Feb 25, 1980",USA,30.0,34.3,6.2,13.0,0.474,2.0,4.8,0.413,2.5,4.0,0.632,3.4,5.8,0.2,2.5,2.6,2.4,16.8,0.566,0.551,0.372,0.307,23.7,1.53,2.23,0.0,0.101,0.097,0.198,,,
Royal Ivey,2004,ATL,37,Texas,PG,75.0,,200,22.48,"Dec 20, 1981",USA,33.0,29.7,4.1,9.1,0.448,0.4,1.1,0.387,2.8,4.5,0.626,4.9,5.2,0.3,1.5,1.9,3.1,11.4,0.507,0.472,0.125,0.496,17.5,1.46,2.76,0.0,0.037,0.102,0.135,,,
Chris Duhon,2004,CHI,38,Duke,PG,73.25,78.5,193,21.79,"Aug 31, 1982",USA,37.0,35.4,3.8,8.5,0.448,0.8,2.6,0.302,1.8,2.5,0.722,4.1,6.2,0.2,2.2,2.9,2.1,10.2,0.527,0.495,0.312,0.292,16.7,1.78,2.16,0.0,0.043,0.088,0.131,,,
Albert Miralles,2004,MIA,39,Roseto Basket (Italy),PF,82.0,,240,22.09,"May 14, 1982",Spain,31.0,14.4,5.9,10.2,0.579,0.3,1.0,0.308,5.1,7.4,0.685,12.1,1.0,1.3,2.7,3.6,6.8,17.2,0.628,0.595,0.103,0.73,,,0.27,,,,,,,
Justin Reed,2004,BOS,40,Ole Miss,SF,79.0,,240,22.41,"Jan 16, 1982",USA,28.0,33.5,7.4,15.9,0.464,0.5,2.3,0.237,4.5,6.1,0.731,8.0,1.6,0.9,0.7,3.2,3.3,19.8,0.525,0.481,0.142,0.385,,,0.49,,,,,,,
David Young,2004,OKC,41,North Carolina Central,SG,77.0,,205,22.82,"Aug 18, 1981",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor Sanikidze,2004,SA,42,Dijon (France),SF,80.0,,196,18.21,"Apr 1, 1986",Georgia,9.0,5.8,4.8,9.0,0.538,0.0,1.4,0.0,2.1,2.8,0.75,11.1,2.8,0.0,0.0,0.7,4.2,11.8,0.57,0.538,0.154,0.308,,,4.0,,,,,,,
Trevor Ariza,2004,NY,43,UCLA,SF,80.25,86.0,201,18.96,"Jun 30, 1985",USA,25.0,31.6,4.9,11.5,0.426,0.8,3.5,0.237,2.6,5.2,0.504,7.4,2.4,0.5,1.9,3.7,3.1,13.2,0.474,0.462,0.303,0.45,,,0.64,,,,,,,
Tim Pickett,2004,NO,44,Florida State,SG,76.25,79.5,207,23.16,"Apr 18, 1981",USA,33.0,29.8,6.8,15.6,0.434,4.0,9.9,0.407,2.3,3.0,0.759,5.4,2.5,0.4,3.0,2.9,3.0,19.8,0.583,0.563,0.634,0.195,,,0.87,,,,,,,
Bernard Robinson,2004,CHA,45,Michigan,SF,78.5,82.0,208,23.47,"Dec 26, 1980",USA,34.0,32.2,4.9,11.4,0.432,0.6,2.2,0.25,3.1,4.0,0.77,6.4,4.3,0.3,2.1,3.1,2.8,13.5,0.507,0.457,0.196,0.352,,,1.4,,,,,,,
Ha Seung-Jin,2004,POR,46,Yonsei (South Korea),C,87.0,,305,18.86,"Aug 4, 1985",South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pape Sow,2004,TOR,47,CSU Fullerton,PF,82.0,86.0,233,22.56,"Nov 22, 1981",Senegal,28.0,32.2,6.4,12.9,0.494,0.3,1.0,0.333,6.2,9.2,0.675,10.9,1.0,0.6,1.8,3.4,4.0,19.3,0.558,0.506,0.074,0.713,,,0.29,,,,,,,
Ricky Minard,2004,SAC,48,Morehead State,SG,76.25,79.0,198,21.76,"Sep 11, 1982",USA,29.0,34.3,7.6,16.9,0.451,1.6,5.0,0.326,6.0,7.8,0.776,7.7,5.3,0.5,2.2,3.8,2.6,22.9,0.556,0.499,0.296,0.459,34.1,0.98,1.39,0.0,0.117,0.032,0.149,,,
Sergei Lishouk,2004,MEM,49,Khimik Yuzhny (Ukraine),PF,83.5,84.0,244,22.21,"Mar 31, 1982",Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vassilis Spanoulis,2004,HOU,50,Maroussi (Greece),PG,76.0,,195,21.85,"Aug 7, 1982",Greece,5.0,10.0,4.3,9.4,0.462,2.2,3.6,0.6,0.7,1.4,0.5,1.4,2.2,0.0,0.7,3.6,5.0,11.5,0.573,0.577,0.385,0.154,,,0.6,,,,,,,
Christian Drejer,2004,BKN,51,FC Barcelona (Spain),SF,81.0,,230,21.52,"Dec 8, 1982",Denmark,12.0,16.0,3.6,8.4,0.422,2.1,4.3,0.478,1.7,2.4,0.692,6.0,2.6,0.0,1.1,1.3,5.1,10.9,0.567,0.544,0.511,0.289,,,2.0,,,,,,,
Romain Sato,2004,SA,52,Xavier,SG,75.25,83.0,204,23.29,"Mar 2, 1981",Central African Republic,37.0,36.9,4.7,11.7,0.404,2.0,5.7,0.349,4.5,5.4,0.829,7.8,2.2,0.1,1.2,1.7,2.3,15.9,0.558,0.489,0.485,0.463,22.7,0.56,1.33,0.0,0.088,0.085,0.173,,,
Matt Freije,2004,MIA,53,Vanderbilt,PF,81.5,85.0,234,22.7,"Oct 2, 1981",USA,33.0,29.8,6.8,16.3,0.415,2.3,6.4,0.356,6.4,8.1,0.788,6.5,1.1,0.8,0.8,1.2,1.9,22.2,0.55,0.484,0.39,0.498,30.2,0.23,0.88,0.0,0.11,0.077,0.187,,,
Rickey Paulding,2004,DET,54,Missouri,SG,76.0,81.5,210,21.64,"Oct 23, 1982",USA,30.0,35.0,4.9,12.4,0.397,1.8,5.4,0.342,3.8,4.8,0.787,4.4,2.9,0.4,1.1,2.7,2.0,15.5,0.527,0.471,0.435,0.388,,,1.08,,,,,,,
Luis Flores,2004,GS,55,Manhattan,PG,73.75,79.5,202,23.18,"Apr 11, 1981",Dominican Republic,31.0,36.2,7.5,17.0,0.442,2.2,5.8,0.374,6.7,7.7,0.863,3.9,1.6,0.1,1.9,2.3,2.4,23.9,0.578,0.507,0.344,0.456,,,0.68,,,,,,,
Marcus Douthit,2004,LAL,56,Providence,PF,83.0,88.0,223,24.17,"Apr 15, 1980",USA,29.0,29.7,3.4,7.7,0.446,0.0,0.0,0.0,2.6,3.4,0.768,7.1,2.7,3.8,1.9,3.2,3.6,9.5,0.509,0.446,0.0,0.446,17.7,0.81,0.84,0.0,0.028,0.135,0.167,,,
Sergei Karaulov,2004,SA,57,Sakha-Jakutia (Russia),C,85.0,,232,22.17,"Apr 15, 1982",Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Stepp,2004,MIN,58,Gonzaga,PG,76.0,,194,22.36,"Feb 4, 1982",USA,31.0,33.1,5.0,11.6,0.431,2.8,7.4,0.376,3.1,3.7,0.83,5.0,7.3,0.1,1.3,3.3,2.0,15.9,0.592,0.55,0.633,0.319,,,2.23,,,,,,,
Rashad Wright,2004,IND,59,Georgia,PG,73.75,82.0,190,22.25,"Mar 17, 1982",USA,29.0,37.1,4.5,10.6,0.424,2.2,5.6,0.396,2.7,4.0,0.683,2.8,2.9,0.4,1.8,2.1,1.8,13.9,0.559,0.53,0.535,0.38,20.9,0.93,1.4,0.0,0.082,0.045,0.126,,,
Andrew Bogut,2005,MIL,1,Utah,C,84.25,87.0,251,20.55,"Nov 28, 1984",Australia,35.0,35.0,8.3,13.3,0.62,0.3,0.7,0.36,4.2,6.1,0.692,12.6,2.4,1.9,1.0,2.8,2.3,21.0,0.648,0.63,0.055,0.459,29.7,0.61,0.85,0.0,0.209,0.147,0.356,,,
Marvin Williams,2005,ATL,2,North Carolina,SF/PF,80.25,87.5,228,18.99,"Jun 19, 1986",USA,36.0,22.2,5.6,11.1,0.506,0.9,2.0,0.432,6.2,7.3,0.847,10.6,1.2,0.8,1.8,2.5,4.1,18.3,0.627,0.545,0.178,0.66,21.1,0.26,0.46,0.0,0.13,0.105,0.24,,,
Deron Williams,2005,UTA,3,Illinois,PG,74.75,78.25,202,20.97,"Jun 26, 1984",USA,39.0,33.7,4.9,11.3,0.433,1.9,5.1,0.364,1.8,2.6,0.677,3.9,7.2,0.2,1.0,3.0,2.2,13.4,0.535,0.516,0.455,0.234,22.5,1.59,2.42,0.0,0.064,0.076,0.14,,,
Chris Paul,2005,NO,4,Wake Forest,PG,73.0,76.25,178,20.11,"May 7, 1985",USA,32.0,33.4,4.8,10.7,0.451,1.5,3.3,0.474,5.3,6.3,0.834,4.8,7.1,0.0,2.6,3.0,2.8,16.4,0.601,0.524,0.306,0.59,21.5,1.57,2.38,0.0,0.109,0.06,0.172,,,
Raymond Felton,2005,CHA,5,North Carolina,PG,72.25,76.25,199,20.97,"Jun 26, 1984",USA,36.0,31.7,4.7,10.4,0.455,2.2,5.0,0.44,3.0,4.2,0.701,4.9,7.8,0.3,2.3,4.1,2.2,14.6,0.589,0.561,0.482,0.406,20.4,1.7,1.93,0.0,0.095,0.088,0.179,,,
Martell Webster,2005,POR,6,Seattle Prep,SF,79.5,83.0,230,18.53,"Dec 4, 1986",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Villanueva,2005,TOR,7,UConn,PF/SF,81.5,84.25,237,20.81,"Aug 24, 1984",USA,31.0,25.7,7.2,13.8,0.521,0.3,0.5,0.5,4.4,6.4,0.688,11.6,1.8,2.6,0.9,3.2,3.1,19.0,0.566,0.531,0.039,0.462,,,0.57,,,,,,,
Channing Frye,2005,NY,8,Arizona,PF/C,82.5,86.5,244,22.08,"May 17, 1983",USA,37.0,31.0,7.1,12.9,0.554,0.1,0.5,0.176,4.0,4.8,0.83,8.8,2.3,2.7,1.1,2.0,3.0,18.3,0.605,0.557,0.041,0.373,22.7,0.53,1.12,0.0,0.125,0.129,0.258,,,
Ike Diogu,2005,GS,9,Arizona State,PF,80.0,87.5,255,21.76,"Sep 11, 1983",USA,32.0,36.4,7.1,12.3,0.575,0.6,1.4,0.4,7.7,9.6,0.797,9.6,1.3,2.3,0.6,3.6,2.7,22.4,0.663,0.598,0.113,0.781,27.3,0.3,0.37,0.0,0.199,0.089,0.289,,,
Andrew Bynum,2005,LAL,10,St. Joseph High School,C,84.0,,280,17.63,"Oct 27, 1987",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran Vázquez,2005,ORL,11,Málaga (Spain),PF,82.0,,230,22.12,"May 1, 1983",Spain,48.0,22.5,6.7,10.6,0.631,0.0,0.1,0.25,2.6,4.1,0.637,8.7,0.6,2.3,1.0,1.6,4.4,16.0,0.638,0.632,0.013,0.391,,,0.36,,,,,,,
Yaroslav Korolev,2005,LAC,12,CSKA Moscow (Russia),SF,81.0,,215,18.11,"May 7, 1987",Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean May,2005,CHA,13,North Carolina,PF,80.5,85.25,259,21.2,"Apr 4, 1984",USA,37.0,26.8,8.3,14.6,0.567,0.0,0.1,0.0,6.9,9.1,0.758,14.4,2.3,1.4,1.6,3.4,3.2,23.5,0.62,0.567,0.007,0.627,27.6,0.42,0.66,0.0,0.165,0.145,0.31,,,
Rashad McCants,2005,MIN,14,North Carolina,SG,76.0,82.75,201,20.72,"Sep 25, 1984",USA,33.0,25.9,7.7,15.7,0.489,3.0,7.1,0.423,3.8,5.3,0.722,4.2,3.7,0.9,1.8,2.6,3.4,22.2,0.609,0.584,0.449,0.337,25.8,0.72,1.4,0.0,0.15,0.084,0.234,,,
Antoine Wright,2005,BKN,15,Texas A&M,SF/SG,78.25,80.75,203,21.35,"Feb 6, 1984",USA,31.0,33.9,6.6,13.2,0.501,2.4,5.4,0.447,3.3,4.8,0.691,6.3,2.4,0.8,1.2,2.6,2.7,18.9,0.613,0.594,0.413,0.361,,,0.92,,,,,,,
Joey Graham,2005,TOR,16,Oklahoma State,SF,78.5,80.0,217,23.01,"Jun 11, 1982",USA,33.0,30.6,7.2,13.6,0.529,0.9,2.0,0.473,5.6,6.3,0.887,7.3,2.4,0.2,1.1,3.1,3.6,20.9,0.63,0.563,0.145,0.466,27.7,0.49,0.76,0.0,0.17,0.063,0.23,,,
Danny Granger,2005,IND,17,New Mexico,SF,80.5,85.5,225,22.15,"Apr 20, 1983",USA,30.0,30.0,7.3,14.0,0.524,1.8,4.2,0.433,6.2,8.2,0.755,10.6,2.8,2.4,2.5,2.9,2.9,22.6,0.634,0.589,0.298,0.585,29.8,0.6,0.99,0.0,0.191,0.147,0.338,,,
Gerald Green,2005,BOS,18,Gulf Shores Academy,SG/SF,79.25,81.75,192,19.38,"Jan 26, 1986",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakim Warrick,2005,MEM,19,Syracuse,PF,80.5,86.0,215,22.94,"Jul 8, 1982",USA,34.0,37.5,7.1,13.0,0.548,0.3,0.9,0.29,6.0,8.8,0.681,8.3,1.4,0.8,0.9,2.4,2.2,20.5,0.596,0.557,0.067,0.671,26.9,0.3,0.58,0.0,0.141,0.091,0.235,,,
Julius Hodge,2005,DEN,20,NC State,SG/SF,79.0,84.5,202,21.57,"Nov 18, 1983",USA,34.0,34.6,6.0,12.2,0.492,0.4,1.7,0.255,5.2,7.7,0.668,6.9,5.0,0.7,1.5,2.7,2.3,17.6,0.555,0.51,0.138,0.632,26.8,1.13,1.82,0.0,0.095,0.078,0.173,,,
Nate Robinson,2005,NY,21,Washington,PG,69.0,,180,21.04,"May 31, 1984",USA,35.0,31.5,6.1,13.3,0.463,2.0,5.3,0.385,4.4,5.7,0.782,4.4,4.9,0.2,2.0,2.3,3.2,18.8,0.587,0.539,0.397,0.429,22.9,0.97,2.1,0.0,0.113,0.069,0.178,,,
Jarrett Jack,2005,POR,22,Georgia Tech,PG,75.5,79.5,198,21.63,"Oct 28, 1983",USA,32.0,34.1,5.4,10.5,0.514,1.5,3.4,0.442,4.1,4.7,0.866,5.1,4.8,0.1,1.9,3.6,1.8,16.4,0.643,0.586,0.326,0.445,21.8,1.2,1.32,0.0,0.147,0.077,0.224,,,
Francisco Garcia,2005,SAC,23,Louisville,SG/SF,79.0,82.75,190,23.45,"Dec 31, 1981",Dominican Republic,38.0,31.9,5.6,12.7,0.437,2.1,5.8,0.366,4.5,5.1,0.877,4.7,4.4,1.7,1.9,3.1,3.3,17.7,0.584,0.52,0.453,0.4,24.5,0.98,1.42,0.0,0.112,0.132,0.248,,,
Luther Head,2005,HOU,24,Illinois,PG/SG,75.0,77.25,179,22.55,"Nov 26, 1982",USA,39.0,33.3,5.9,12.8,0.463,3.2,7.9,0.41,2.2,2.7,0.788,4.3,4.2,0.2,1.9,1.9,1.5,17.3,0.611,0.589,0.613,0.214,23.4,0.93,2.17,0.0,0.136,0.086,0.222,,,
Johan Petro,2005,OKC,25,Pau-Orthez (France),C,85.0,,250,19.38,"Jan 27, 1986",France,39.0,13.2,6.4,12.7,0.508,0.0,0.0,0.0,3.0,4.1,0.729,8.7,1.3,1.7,2.0,2.3,7.6,15.9,0.543,0.508,0.0,0.326,,,0.55,,,,,,,
Jason Maxiell,2005,DET,26,Cincinnati,PF,78.25,87.25,258,22.32,"Feb 18, 1983",USA,33.0,31.4,5.7,10.5,0.543,0.1,0.2,0.4,6.1,9.5,0.645,8.8,1.0,3.1,1.1,2.2,2.8,17.6,0.586,0.546,0.017,0.904,22.9,0.25,0.44,0.0,0.116,0.17,0.282,,,
Linas Kleiza,2005,DEN,27,Missouri,SF,80.0,,235,20.45,"Jan 3, 1985",Lithuania,33.0,31.5,5.7,14.2,0.403,1.1,3.9,0.274,5.9,8.0,0.732,8.7,1.8,0.3,0.7,3.1,3.2,18.4,0.511,0.441,0.276,0.565,30.3,0.44,0.6,0.0,0.058,0.058,0.116,,,
Ian Mahinmi,2005,SA,28,Le Havre (France),PF,82.0,,230,18.61,"Nov 5, 1986",France,31.0,16.8,4.9,8.2,0.597,0.0,0.0,0.0,3.1,4.7,0.662,8.6,0.2,1.4,1.1,2.6,7.3,12.9,0.618,0.597,0.0,0.571,,,0.08,,,,,,,
Wayne Simien,2005,MIA,29,Kansas,PF,81.0,84.0,256,22.27,"Mar 9, 1983",USA,26.0,34.3,7.7,14.0,0.552,0.2,0.6,0.286,5.7,7.0,0.816,11.6,1.5,0.6,0.6,2.4,2.7,21.3,0.616,0.558,0.04,0.503,27.6,0.33,0.6,0.0,0.161,0.09,0.256,,,
David Lee,2005,NY,30,Florida,PF,81.0,84.0,230,22.13,"Apr 29, 1983",USA,32.0,28.0,6.4,12.2,0.525,0.0,0.2,0.0,4.6,6.5,0.714,11.6,2.8,1.0,1.4,3.4,3.1,17.5,0.57,0.525,0.013,0.528,26.5,0.62,0.82,0.0,0.103,0.12,0.223,,,
Salim Stoudamire,2005,ATL,31,Arizona,PG/SG,73.0,,190,22.68,"Oct 11, 1982",USA,36.0,31.3,6.7,13.3,0.504,3.8,7.6,0.504,3.9,4.3,0.91,2.7,2.5,0.1,1.0,2.7,2.1,21.2,0.689,0.647,0.571,0.321,24.0,0.54,0.92,0.0,0.206,0.036,0.238,,,
Daniel Ewing,2005,LAC,32,Duke,PG,73.0,,190,22.22,"Mar 26, 1983",USA,33.0,34.5,5.7,13.4,0.427,2.2,6.3,0.347,2.3,3.4,0.692,3.3,4.2,0.4,2.1,3.1,3.1,16.0,0.532,0.508,0.469,0.252,,,1.35,,,,,,,
