Name,Year,Draft Team,Pick,Team,Position,Height,Wingspan,Weight,Draft Age,Birthdate,Nation,G,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,STL,TO,PF,PTS,TS%,eFG%,3PAr,FTAr,USG%,AST/USG,AST/TO,PER,OWS/40,DWS/40,WS/40,OBPM,DBPM,BPM
Terrence Shannon Jr.,2024,,21,Illinois,SG,79.0,80.75,219.0,23.89,"Jul 30, 2000",USA,32.0,33.9,7.3,15.3,0.475,2.6,7.1,0.362,7.3,9.2,0.801,4.2,2.4,0.9,1.1,2.1,2.4,24.4,0.622,0.559,0.462,0.599,29.2,0.44,1.14,26.9,0.184,0.048,0.236,8.9,2.7,11.5
Johnny Furphy,2024,,22,Kansas,SG,80.75,80.0,189.0,19.53,"Dec 7, 2004",Australia,33.0,24.1,4.3,9.3,0.466,2.0,5.7,0.352,2.8,3.7,0.765,7.3,1.5,0.5,1.3,1.3,3.2,13.5,0.609,0.573,0.607,0.393,17.6,0.4,1.18,17.0,0.086,0.07,0.156,3.8,2.8,6.6
Kel'el Ware,2024,,23,Indiana,C,85.0,88.5,230.0,20.17,"Apr 20, 2004",USA,30.0,32.2,7.0,12.0,0.586,0.6,1.5,0.425,3.2,5.0,0.634,11.0,1.7,2.1,0.7,1.8,2.3,17.8,0.621,0.612,0.125,0.417,22.9,0.43,0.96,25.0,0.112,0.062,0.174,5.8,2.7,8.5
Bobi Klintman,2024,,24,Cairns (NBL),SF/PF,82.0,83.0,212.0,21.29,"Mar 6, 2003",Sweden,26.0,21.6,5.5,12.7,0.434,2.0,5.9,0.337,3.9,4.8,0.813,7.9,1.5,0.8,1.7,2.9,4.5,16.9,0.565,0.513,0.465,0.379,20.84,0.32,0.53,13.86,,,,,,
DaRon Holmes II,2024,,25,Dayton,PF,82.0,85.0,236.0,21.85,"Aug 15, 2002",USA,33.0,32.5,7.3,13.4,0.544,1.1,2.8,0.386,6.9,9.7,0.713,9.4,2.9,2.3,1.0,2.5,2.2,22.6,0.627,0.584,0.208,0.724,31.5,0.6,1.16,31.7,0.176,0.086,0.261,8.3,4.0,12.3
Tyler Kolek,2024,,26,Marquette,PG,74.5,74.75,197.0,23.23,"Mar 27, 2001",USA,31.0,33.0,6.1,12.4,0.496,1.7,4.3,0.388,2.8,3.3,0.851,5.4,8.4,0.2,1.7,3.1,1.1,16.7,0.6,0.563,0.345,0.268,24.3,1.73,2.69,24.3,0.133,0.067,0.2,6.9,3.2,10.1
Ryan Dunn,2024,,27,Virginia,SF,79.5,85.5,214.0,21.45,"Jan 7, 2003",USA,34.0,27.5,4.4,8.0,0.548,0.3,1.3,0.2,1.6,3.0,0.532,9.0,1.0,3.0,1.7,1.1,2.7,10.6,0.564,0.565,0.168,0.37,16.8,0.36,0.93,22.0,0.068,0.111,0.18,1.6,5.6,7.2
Jaylon Tyson,2024,,28,California,SG,78.75,80.0,218.0,21.55,"Dec 2, 2002",USA,31.0,34.3,7.5,16.2,0.465,1.7,4.7,0.36,3.8,4.8,0.796,7.1,3.6,0.5,1.3,3.3,2.2,20.6,0.557,0.518,0.291,0.298,30.1,0.78,1.11,22.2,0.09,0.041,0.132,5.7,1.2,6.8
Kevin McCullar,2024,,29,Kansas,SG,78.5,81.0,206.0,23.27,"Mar 15, 2001",USA,26.0,34.2,6.4,14.2,0.454,1.6,4.7,0.333,4.9,6.0,0.805,6.3,4.3,0.4,1.6,2.7,2.0,19.3,0.567,0.51,0.334,0.426,28.0,0.82,1.62,21.1,0.09,0.072,0.162,4.5,2.8,7.4
Pacome Dadiet,2024,,30,Ratiopharm Ulm (Germany),SG,80.0,,187.0,18.9,"Jul 27, 2005",France,59.0,15.3,5.6,11.1,0.502,2.0,5.5,0.358,2.4,3.3,0.744,5.3,1.4,0.3,1.3,2.0,3.5,15.5,0.613,0.59,0.491,0.294,18.48,0.34,0.71,14.31,,,,,,
Kyshawn George,2024,,31,Miami,SG,80.25,82.25,209.0,20.52,"Dec 12, 2003",Switzerland,31.0,23.0,4.1,9.6,0.426,2.7,6.6,0.408,1.1,1.4,0.778,4.7,3.4,0.6,1.4,2.4,2.8,11.9,0.582,0.566,0.684,0.142,17.6,0.93,1.4,13.7,0.05,0.045,0.095,1.2,2.4,3.6
Dillon Jones,2024,,32,Weber State,SF,77.75,83.0,237.0,22.64,"Oct 29, 2001",USA,31.0,37.0,6.8,13.8,0.489,1.1,3.3,0.324,5.7,6.6,0.857,9.6,5.1,0.1,1.9,3.0,2.2,20.2,0.597,0.527,0.239,0.477,29.5,1.03,1.72,27.9,0.14,0.091,0.23,5.5,2.3,7.7
Zach Edey,2024,,33,Purdue,C,89.0,94.75,299.0,22.1,"May 14, 2002",Canada,39.0,32.0,9.7,15.5,0.623,0.0,0.1,0.5,8.9,12.6,0.711,13.7,2.3,2.4,0.3,2.6,2.2,28.4,0.659,0.624,0.004,0.809,33.4,0.44,0.88,39.3,0.253,0.083,0.337,13.1,3.7,16.8
Carlton Carrington,2024,,34,Pittsburgh,PG,77.0,80.0,195.0,18.92,"Jul 21, 2005",USA,33.0,33.2,5.2,12.7,0.412,2.1,6.6,0.322,2.4,3.1,0.785,5.6,4.5,0.3,0.6,2.1,2.6,15.0,0.53,0.496,0.523,0.241,23.0,1.04,2.12,16.3,0.08,0.051,0.131,2.6,1.3,3.9
KJ Simpson,2024,,35,Colorado,PG,73.5,76.5,187.0,21.87,"Aug 8, 2002",USA,37.0,35.1,6.7,14.2,0.475,2.2,5.0,0.434,4.5,5.2,0.876,6.0,5.0,0.1,1.7,2.2,2.6,20.2,0.606,0.552,0.355,0.363,26.7,1.01,2.23,24.8,0.157,0.062,0.222,6.9,3.2,10.1
Oso Ighodaro,2024,,36,Marquette,PF,82.75,83.0,222.0,21.97,"Jul 2, 2002",USA,36.0,32.5,6.0,10.5,0.576,0.0,0.1,0.0,2.8,4.5,0.623,7.6,3.2,1.4,1.2,2.0,2.4,14.9,0.59,0.576,0.006,0.429,20.7,0.78,1.64,21.9,0.109,0.068,0.178,4.5,3.4,8.0
Baylor Scheierman,2024,,37,Creighton,SF,79.5,80.25,202.0,23.73,"Sep 26, 2000",USA,35.0,36.8,6.1,13.7,0.448,3.1,8.1,0.381,2.8,3.2,0.876,8.8,3.9,0.1,0.9,2.2,1.6,18.1,0.596,0.56,0.591,0.231,25.5,0.78,1.77,21.9,0.118,0.075,0.19,6.7,3.1,9.8
Juan Núñez,2024,,38,Ratiopharm Ulm (Germany),PG,76.0,,190.0,20.04,"Jun 4, 2004",Spain,54.0,23.1,5.8,12.4,0.47,1.3,4.0,0.319,2.5,4.2,0.607,5.3,7.7,0.1,2.6,3.6,3.0,15.4,0.537,0.521,0.322,0.339,22.6,1.53,2.14,17.31,,,,,,
Justin Edwards,2024,,39,Kentucky,SF,79.25,82.0,209.0,20.51,"Dec 16, 2003",USA,32.0,21.4,5.6,11.5,0.486,1.6,4.5,0.365,2.0,2.6,0.776,5.7,1.6,0.4,1.5,1.4,3.7,14.8,0.582,0.557,0.39,0.225,18.7,0.37,1.11,16.2,0.088,0.035,0.123,2.0,0.5,2.5
AJ Johnson,2024,,40,Illawarra (NBL),SG,77.5,80.5,167.0,19.55,"Dec 1, 2004",USA,29.0,8.2,5.0,14.0,0.355,1.5,5.4,0.278,1.1,2.0,0.538,5.4,3.5,0.6,0.9,3.0,3.9,12.5,0.418,0.409,0.387,0.14,21.16,0.66,1.15,7.08,,,,,,
Ajay Mitchell,2024,,41,UC Santa Barbara,PG/SG,76.5,78.25,197.0,21.99,"Jun 25, 2002",Belgium,29.0,31.5,7.7,15.3,0.504,1.3,3.3,0.393,6.2,7.2,0.858,4.6,4.5,0.4,1.3,2.9,2.9,22.9,0.612,0.547,0.217,0.473,31.1,0.91,1.55,25.7,0.149,0.048,0.197,4.6,0.4,5.0
Cam Christie,2024,,42,Minnesota,SG,77.75,80.0,190.0,18.91,"Jul 24, 2005",USA,33.0,30.1,4.5,11.2,0.403,2.5,6.5,0.391,1.9,2.4,0.791,4.3,2.7,0.4,0.8,1.4,2.0,13.5,0.546,0.516,0.577,0.216,19.7,0.7,1.95,13.7,0.064,0.036,0.101,2.1,0.6,2.7
Melvin Ajinca,2024,,43,Saint-Quentin (France),SG/SF,80.0,,,19.98,"Jun 26, 2004",France,35.0,24.8,4.8,11.9,0.399,2.9,8.1,0.357,2.4,2.9,0.814,5.1,1.1,0.1,0.7,1.1,3.3,14.8,0.556,0.521,0.681,0.243,19.25,0.28,1.0,12.64,,,,,,
Izan Almansa,2024,,44,G League,PF,82.5,85.0,220.0,19.04,"Jun 7, 2005",Spain,48.0,27.3,5.5,10.0,0.549,0.2,0.9,0.206,1.5,2.7,0.545,9.4,1.8,0.9,1.0,1.2,2.2,13.9,0.614,0.559,0.093,0.272,15.2,0.54,1.52,15.39,,,,,,
Ulrich Chomche,2024,,45,NBA Academy Africa,PF/C,83.5,88.0,232.0,18.47,"Dec 30, 2005",Cameroon,3.0,30.0,5.6,13.2,0.424,3.2,8.4,0.381,1.2,1.6,0.75,10.8,4.0,3.2,1.6,6.0,1.2,15.6,0.559,0.545,0.636,0.121,23.36,0.81,0.67,20.53,,,,,,
Jonathan Mogbo,2024,,46,San Francisco,PF,79.5,86.0,217.0,22.64,"Oct 29, 2001",USA,34.0,28.9,7.6,11.9,0.636,0.0,0.1,0.0,2.6,3.8,0.692,12.7,4.6,1.0,2.0,2.2,3.3,17.8,0.648,0.636,0.006,0.321,22.7,1.08,2.07,31.2,0.179,0.106,0.281,7.0,4.1,11.1
Trey Alexander,2024,,47,Creighton,SG,76.5,82.5,187.0,21.13,"May 2, 2003",USA,35.0,37.3,6.4,14.4,0.446,1.7,5.1,0.339,2.5,3.0,0.824,5.5,4.6,0.4,1.0,2.4,1.7,17.0,0.538,0.506,0.352,0.208,26.6,0.9,1.92,18.7,0.086,0.064,0.15,3.2,2.6,5.7
Harrison Ingram,2024,,48,North Carolina,SF,78.5,84.25,234.0,21.56,"Nov 27, 2002",USA,37.0,32.8,4.8,11.2,0.43,1.9,5.0,0.385,1.8,2.9,0.612,9.7,2.4,0.4,1.5,1.5,2.1,13.4,0.53,0.516,0.446,0.259,18.8,0.62,1.57,18.3,0.082,0.079,0.162,4.7,3.9,8.5
Nikola Djurisic,2024,,49,KK Mega Basket (Serbia),SG/SF,80.25,80.0,209.0,20.32,"Feb 23, 2004",Serbia,36.0,29.9,5.9,13.2,0.444,1.3,4.4,0.305,4.8,6.2,0.763,3.4,4.1,0.5,1.4,3.8,3.4,17.8,0.551,0.495,0.332,0.472,25.36,0.74,1.07,13.67,,,,,,
Pelle Larsson,2024,,50,Arizona,SG,78.5,79.5,212.0,23.32,"Feb 23, 2001",Sweden,36.0,30.1,5.4,10.4,0.519,1.5,3.6,0.426,2.9,3.9,0.75,4.9,4.5,0.3,1.1,2.3,3.1,15.3,0.622,0.592,0.344,0.369,18.8,1.07,1.97,17.8,0.107,0.066,0.177,4.1,3.3,7.4
Adem Bona,2024,,51,UCLA,C,81.5,87.75,243.0,21.23,"Mar 28, 2003",Turkey,33.0,26.5,6.3,10.7,0.588,0.0,0.0,0.0,4.2,6.1,0.696,8.0,1.7,2.4,1.5,3.4,4.9,16.8,0.619,0.588,0.004,0.569,25.0,0.46,0.5,23.3,0.078,0.087,0.165,1.9,4.5,6.5
PJ Hall,2024,,52,Clemson,PF,81.5,85.5,240.0,22.33,"Feb 21, 2002",USA,36.0,28.9,8.3,17.0,0.488,1.8,5.7,0.315,4.4,5.6,0.779,8.0,1.8,1.8,1.0,2.3,3.9,22.8,0.579,0.541,0.335,0.331,31.8,0.34,0.76,25.6,0.119,0.065,0.185,5.7,2.7,8.4
Keshad Johnson,2024,,53,Arizona,PF,79.5,82.25,224.0,22.99,"Jun 23, 2001",USA,36.0,27.6,5.5,10.3,0.53,1.3,3.4,0.387,2.8,3.9,0.71,7.7,2.4,0.9,1.3,2.0,2.7,15.0,0.616,0.593,0.326,0.375,18.4,0.59,1.18,19.3,0.101,0.081,0.181,4.5,3.8,8.3
Jalen Bridges,2024,,54,Baylor,SF,80.0,82.0,213.0,23.1,"May 14, 2001",USA,35.0,31.7,4.7,10.0,0.466,2.4,5.7,0.412,2.1,2.6,0.823,6.4,1.6,0.6,1.2,1.1,1.7,13.8,0.615,0.584,0.573,0.256,17.5,0.47,1.47,19.6,0.122,0.05,0.173,7.5,2.3,9.9
Jamal Shead,2024,,55,Houston,PG,73.5,75.0,201.0,21.99,"Jun 24, 2002",USA,37.0,31.1,5.5,13.6,0.409,1.3,4.4,0.309,2.5,3.3,0.779,4.3,7.3,0.5,2.5,2.3,2.3,15.0,0.495,0.458,0.321,0.24,25.1,1.61,3.11,22.6,0.108,0.111,0.219,6.3,6.4,12.7
Tristen Newton,2024,,56,UConn,PG/SG,76.5,78.75,192.0,23.15,"Apr 26, 2001",USA,40.0,33.2,4.9,11.9,0.415,1.9,6.0,0.321,4.6,5.6,0.808,7.1,6.7,0.3,1.0,2.7,1.9,16.4,0.561,0.495,0.503,0.474,24.7,1.26,2.53,22.4,0.145,0.078,0.223,7.0,3.3,10.4
Antonio Reeves,2024,,57,Kentucky,SG,77.75,80.25,187.0,23.58,"Nov 20, 2000",USA,33.0,31.4,8.2,15.9,0.512,2.9,6.5,0.447,3.9,4.5,0.863,4.8,1.9,0.3,0.8,1.4,2.0,23.2,0.64,0.603,0.41,0.285,25.9,0.36,1.35,23.6,0.158,0.023,0.181,7.3,-0.3,7.0
Cam Spencer,2024,,58,UConn,SG,76.25,77.0,202.0,24.21,"Apr 6, 2000",USA,40.0,33.0,5.4,11.1,0.484,2.7,6.1,0.44,2.2,2.5,0.911,5.3,4.0,0.3,1.6,1.1,2.3,15.7,0.64,0.606,0.556,0.222,19.0,0.98,3.62,22.8,0.158,0.079,0.24,7.2,4.5,11.8
Ariel Hukporti,2024,,59,Melbourne (NBL),C,84.0,86.5,246.0,22.19,"Apr 12, 2002",Germany,43.0,17.7,6.3,11.2,0.563,0.0,0.0,0.0,3.5,5.7,0.617,14.4,1.5,3.0,1.0,3.4,5.1,16.2,0.58,0.563,0.0,0.504,20.34,0.31,0.45,19.58,,,,,,
Mantas Rubstavicius,2024,,60,New Zealand (NBL),SG,80.5,79.25,200.0,22.12,"May 6, 2002",Lithuania,25.0,19.7,5.5,10.7,0.517,2.3,5.3,0.425,3.7,4.5,0.823,3.8,2.1,0.2,1.5,2.0,4.9,17.1,0.663,0.622,0.497,0.422,18.47,0.5,1.07,15.28,,,,,,
Trentyn Flowers,2024,,61,Adelaide (NBL),SG,79.75,80.25,201.0,19.28,"Mar 8, 2005",USA,21.0,14.4,4.9,11.2,0.436,1.2,3.3,0.357,2.9,4.4,0.649,7.7,1.5,0.2,0.6,3.7,3.7,13.8,0.52,0.489,0.298,0.394,19.87,0.35,0.42,8.36,,,,,,
Reece Beekman,2024,,62,Virginia,PG,74.5,78.5,196.0,22.7,"Oct 8, 2001",USA,34.0,32.8,5.8,13.1,0.443,1.0,3.2,0.31,3.1,4.1,0.754,4.0,6.9,0.5,2.2,2.3,1.4,15.7,0.522,0.482,0.246,0.31,27.7,1.61,3.03,23.4,0.09,0.09,0.176,5.0,5.4,10.5
Judah Mintz,2024,,63,Syracuse,PG,76.0,75.5,176.0,20.95,"Jul 10, 2003",USA,32.0,33.9,6.2,14.2,0.438,0.8,2.8,0.282,6.7,8.8,0.765,3.4,4.7,0.1,2.2,3.1,2.3,20.0,0.543,0.466,0.198,0.615,29.7,0.86,1.51,20.5,0.081,0.048,0.129,2.7,1.5,4.2
Jaylen Wells,2024,,64,Washington State,SF,79.75,79.25,206.0,20.82,"Aug 26, 2003",USA,34.0,29.2,5.0,11.6,0.436,2.5,6.1,0.417,2.9,3.5,0.814,5.7,1.5,0.2,0.6,0.8,2.3,15.5,0.585,0.545,0.527,0.304,20.1,0.39,1.83,18.6,0.125,0.056,0.181,5.7,1.6,7.3
Bronny James,2024,,65,USC,PG/SG,74.75,79.25,210.0,19.7,"Oct 6, 2004",USA,25.0,19.3,3.1,8.3,0.366,1.2,4.5,0.267,1.7,2.5,0.676,5.3,4.0,0.4,1.4,2.0,3.2,9.0,0.472,0.438,0.536,0.304,16.2,1.2,1.96,10.3,0.017,0.05,0.066,-1.4,2.1,0.7
